id;Endpoint 1;Endpoint 2;Total capacity;Provisioned capacity (%)
-160181617838685002;30990;39925;4.8 THz;10
-1924338652343423293;70080;60168;4.8 THz;17
-2017457964338917446;60168;70080;4.8 THz;17
-210433580605476982;34014;34000;4.8 THz;14
-2188716338357475633;24246;40990;4.8 THz;11
-2242719450019019377;11577;40039;4.8 THz;37
-226701154448369746;46500;46300;4.8 THz;20
-2452911897910629777;54999;50030;4.8 THz;29
-2571069507387078004;62467;27088;4.8 THz;0
-2869142135979126232;46300;40990;4.8 THz;22
-3079449438060424150;70611;34000;4.8 THz;17
-3203182031983785910;20990;20941;4.8 THz;34
-3392629642648691735;27218;25238;4.8 THz;4
-3916509222898212252;70611;70080;4.8 THz;17
-3983729766460648628;20941;24246;4.8 THz;30
-4078555090305142512;20669;20900;4.8 THz;28
-4203640467414382450;46500;50030;4.8 THz;21
-4373598137077956487;40990;24246;4.8 THz;11
-4381972122814726766;10160;54298;4.8 THz;14
-4400889876882883689;60086;20900;4.8 THz;17
-5225853233919741832;33090;33093;4.8 THz;11
-5968188472255372383;33093;30990;4.8 THz;7
-6083913352095471135;20900;60086;4.8 THz;17
-6342283591315504609;54999;59002;4.8 THz;43
-6443471544027027707;30990;33093;4.8 THz;7
-6458192966701666801;40039;20669;4.8 THz;42
-6934544171264942517;46300;46500;4.8 THz;20
-7273063670160587206;59002;54999;4.8 THz;43
-7910341950262374681;80115;40039;4.8 THz;12
-8148059218570204637;60086;60168;4.8 THz;17
-8373146988370601128;39925;30990;4.8 THz;10
-8564265848904468287;34000;34014;4.8 THz;14
-875261968776968751;60168;60086;4.8 THz;17
-9104493160667376906;33090;33091;4.8 THz;12
1493540880426887060;33093;33090;4.8 THz;11
1496463247252253737;50030;54999;4.8 THz;29
1693167222301073772;34000;70611;4.8 THz;17
180502961945433373;54999;54298;4.8 THz;15
1841502369469734720;20990;20900;4.8 THz;33
2102736021148208446;33091;83465;4.8 THz;12
225936013773873760;11577;10205;4.8 THz;33
2318355232606610407;25238;20941;4.8 THz;4
2669449139335152579;25238;27218;4.8 THz;4
2686208815029866265;20669;40039;4.8 THz;42
3233116684767172187;20623;20669;4.8 THz;46
3401292404622486367;83465;80115;4.8 THz;12
3508418240352529529;40990;40039;4.8 THz;36
3571837825186381368;34014;39925;4.8 THz;15
367289084673184292;20669;24246;4.8 THz;27
3681755092350033047;20623;20941;4.8 THz;26
3862639605426095317;24246;51004;4.8 THz;25
3984719955206887019;54298;54999;4.8 THz;15
399010355949711406;51004;59002;4.8 THz;45
4261363038864074173;27218;62467;4.8 THz;4
4286812302566719683;20900;20990;4.8 THz;33
429593920030087850;24246;20669;4.8 THz;27
433473942419682979;10205;11577;4.8 THz;33
4443061995754346052;70080;70611;4.8 THz;17
4556258946818404692;20941;20990;4.8 THz;34
4905524736189429816;54298;10160;4.8 THz;14
5092672514435983457;40039;40990;4.8 THz;36
5353522297511081844;40039;11577;4.8 THz;37
5629874710429986924;50030;46500;4.8 THz;21
5717913725437897721;27088;62467;4.8 THz;0
6331191511633424196;59002;51004;4.8 THz;45
6424513387895566187;83465;33091;4.8 THz;12
6638627838707299477;51004;24246;4.8 THz;25
6684207644902467560;20941;20623;4.8 THz;26
6690000439555318378;40990;46300;4.8 THz;22
6701454515129136498;33091;33090;4.8 THz;12
6702592240415355718;62467;27218;4.8 THz;4
7152713003649453057;39925;34014;4.8 THz;15
7590728085705853044;20669;20623;4.8 THz;46
7918838828944198368;20900;20669;4.8 THz;28
8038441463259234109;24246;20941;4.8 THz;30
8218552360736198610;20941;25238;4.8 THz;4
8575513398206019087;40039;80115;4.8 THz;12
9092987680990847406;80115;83465;4.8 THz;12
